#  2.40500084848  eV
66 (-8.00861986556e-06+4.85893625344e-12j)
67 (3.88890098322e-06-1.52960047277e-11j)
68 (-2.67776457452e-08-3.57397146227e-12j)
69 (1.15284735711e-05-2.39192880666e-11j)
70 (1.3345082582e-06-5.11583442739e-12j)
71 (-9.06795344074e-09-6.18915451477e-13j)
72 (8.79419869491e-06+3.25328269084e-07j)
73 (6.44252826054e-07-5.77087765566e-12j)
74 (-1.6168047306e-05+3.20375914221e-11j)
75 (1.02336569414e-06-2.7971750162e-12j)
76 (-1.37276992772e-06+3.52494859865e-07j)
77 (2.06272770148e-06-4.97850142292e-12j)
78 (-3.72322044433e-07-3.66685740273e-13j)
79 (3.28892644842e-07+6.85059098348e-22j)
80 (2.55067450393e-05+1.03729748609e-08j)
81 (4.28507978957e-08+6.06963057316e-12j)
82 (-1.12361278169e-05+2.0773702435e-11j)
83 (-1.33016787355e-05+1.22009022965e-06j)
84 (7.70152364532e-06-1.5755382964e-11j)
85 (3.28918652614e-06-1.04378947514e-11j)
86 (4.94906382656e-06-1.35273224153e-11j)
87 (1.54243654631e-05-3.29137878225e-11j)
88 (7.24999307211e-06+6.91736695003e-12j)
89 (-3.48911484035e-05+5.8345803869e-11j)
90 (-6.44808241879e-06-1.81952587707e-11j)
91 (-5.36688413474e-05-8.92036093393e-09j)
92 (-1.57126792983e-05+1.34335708632e-11j)
93 (-6.12538983032e-06+8.67706995151e-12j)
94 (0.00203881154034-8.11533112395e-22j)
95 (-4.70086118405e-06+3.67664045824e-11j)
96 (5.38910136893e-05+3.67822588425e-09j)
97 (-1.93303211942e-05+5.08562461012e-11j)
98 (2.22077552384e-06+8.07619011506e-12j)
99 (2.13470599314e-05-8.53957257628e-11j)
100 (1.38855828785e-06+3.28925185326e-11j)
101 (-5.4626983109e-06-1.44445329995e-20j)
102 0j
103 (6.37523402818e-07-2.97091722183e-22j)
104 0j
105 (3.31835833727e-06-6.21776267823e-21j)
106 (-6.60446848589e-07+1.73639681806e-21j)
107 (-1.96164163767e-06+2.61185450796e-21j)
108 (7.38427378091e-07-3.89564343965e-25j)
109 (1.47899744003e-06-7.52108686278e-21j)
110 (-1.51527137761e-06-8.80585428762e-19j)
111 (-4.72308207606e-06+3.31644402311e-19j)
112 (-1.57740585595e-06+3.24986535815e-19j)
113 (3.17693333322e-06+2.32896373515e-19j)
114 (6.45955397805e-06+1.14102849341e-19j)
115 (1.69546443659e-06+2.79338854925e-19j)
116 (-4.4730037849e-06+6.51548259762e-19j)
117 (4.58568311189e-06+3.72969941774e-19j)
118 (-2.77512872034e-06+6.55255327308e-19j)
119 (3.70858486188e-06-2.50922947591e-20j)
120 (6.622533301e-06-5.44326063801e-19j)
121 (-5.35397030459e-06-4.93036728494e-19j)
122 (1.14281982621e-06-6.20608268173e-20j)
123 (1.19717532167e-06-6.40639610067e-20j)
124 (-2.4184927064e-06+7.42811934287e-20j)
125 (-1.22010122814e-06+2.09140395893e-20j)
126 (2.61550679148e-06-2.7417291006e-20j)
127 0j
128 0j
129 0j
130 (-2.79094583757e-06+3.13249938795e-20j)
131 (-4.17498840462e-06+4.27705823738e-20j)
132 (-1.19227145826e-05+1.77391862634e-19j)
133 (5.01339559716e-06-7.94426506571e-20j)
134 (-3.57680477951e-06+5.85107002952e-20j)
135 (-3.77202022813e-06+6.25550501721e-20j)
136 (1.99879888599e-06-3.95698540281e-20j)
137 (8.14694972063e-06-1.51826981284e-19j)
138 (6.60509008864e-06-1.22891002462e-19j)
139 (-2.53655161469e-05+4.76080644067e-19j)
140 (-1.70749487236e-05+3.25661723052e-19j)
141 (-2.21201868932e-05+4.5742856066e-19j)
142 0j
143 (-1.36383723587e-05-7.26325282143e-20j)
144 (0.999997911809+0j)
145 0j
146 0j
147 0j
148 0j
149 0j
150 0j
151 0j
152 0j
153 0j
154 0j
155 0j
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  -7.66896015792  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 (-0.000166164185498-8.3425782304e-10j)
32 (0.000225918868782+1.13426718931e-09j)
33 (-0.000124776962924-6.26465667916e-10j)
34 (-0.000249553925849-1.25293133583e-09j)
35 0j
36 (-3.34884679289e-05+3.06879397763e-09j)
37 (0.00127931930539+1.04682131039e-09j)
38 (-7.85187887266e-05+6.25412700931e-09j)
39 (0.999806183679+0j)
40 (-0.00013079556982-5.31828887813e-10j)
41 (-0.000413455523019-3.93869640875e-10j)
42 (0.00161343192625+3.18287679627e-09j)
43 (0.00106682914322-6.50601291073e-10j)
44 (0.00022400658091-9.31016651931e-10j)
45 (1.42894493159e-05-3.41588521345e-10j)
46 (6.14298840478e-05+4.96214667986e-10j)
47 (5.98301644719e-05+2.33106630631e-10j)
48 (5.34584419663e-05+1.92394711811e-11j)
49 (-0.00017269459682+2.58788870907e-09j)
50 (0.000190679727594-2.96961509574e-09j)
51 (0.000196982935513+4.89330810783e-10j)
52 (7.81103507711e-05+6.25418742683e-10j)
53 (3.84177319427e-05+1.73418239022e-09j)
54 (-2.06278897847e-06+1.62210811195e-09j)
55 (-1.11493236569e-05-3.67551575239e-10j)
56 (8.70762915232e-05+7.76136127516e-06j)
57 (2.41530742938e-06-2.8352917054e-10j)
58 (6.66226973244e-05+5.59207194725e-10j)
59 (0.000370758277452-2.05752662274e-11j)
60 (7.74372464762e-06-8.65891609182e-11j)
61 (-0.00204055945959+6.57845991196e-06j)
62 (0.000757771258074-3.64557394978e-11j)
63 (0.000133394622381-1.33937689007e-10j)
64 (0.000189479075555+2.39148864246e-10j)
65 (-8.98213759333e-05-5.33235813125e-11j)
66 (-0.000126612593579-3.52674442241e-10j)
67 (8.9894609302e-05-2.27402526722e-10j)
68 (4.7730235711e-06-9.88177836594e-11j)
69 (0.000214009016995+1.18510976182e-11j)
70 (2.34628153023e-05-4.57566238968e-11j)
71 (2.22200193006e-06-2.31767551402e-11j)
72 (0.000138977139375+7.81406405576e-06j)
73 (1.67478919291e-05-1.11918433738e-10j)
74 (-0.000278525307349-7.08106941573e-11j)
75 (1.82192382107e-05-1.66678720128e-11j)
76 (-2.34423493135e-05+4.20484814747e-06j)
77 (3.4122238383e-05-1.08334351063e-11j)
78 (1.01299365539e-06-5.22873215939e-11j)
79 (4.69279799795e-06+2.35610545646e-11j)
80 (0.000320545262934-1.84893818343e-06j)
81 (-4.75199335588e-06+1.07570403112e-10j)
82 (-0.000131308077965-4.85368995587e-11j)
83 (-0.000150238049982+1.22468417871e-05j)
84 (8.65138883029e-05+1.98512440253e-11j)
85 (3.78241970334e-05-4.96292072316e-11j)
86 (5.81017002758e-05-5.31543466684e-11j)
87 (0.000168778192823-3.475718515e-12j)
88 (6.40723754531e-05+3.41729656024e-10j)
89 (-0.000327373538702-2.49310422419e-10j)
90 (-4.48696183216e-05-4.24109911044e-10j)
91 (-0.00470155872595+1.41072810231e-07j)
92 (-0.000107034579628-3.34443721362e-10j)
93 (-5.47877121084e-05-3.74226100827e-11j)
94 (-0.0167812586698-8.42533924195e-08j)
95 (-5.16447387395e-05+3.08944090198e-10j)
96 (0.00851462286681-8.88124022869e-08j)
97 (-0.00013689417137+6.43327131829e-11j)
98 (7.41026155092e-06+1.41366972196e-10j)
99 (0.000149708271873-3.38446405339e-10j)
100 (-6.33407741277e-06+3.23807878892e-10j)
101 (-2.3539941694e-05-1.18186602335e-10j)
102 0j
